Genre,Age,Programme_detude,Suggestion_tache,Performance,Duree,Matiere_etudiee,Moment_detude
Masculin,24,Médecine,Lire des études de cas cliniques,95%,2,Chirurgie,Soir
Feminin,26,Psychologie,Lire des articles sur la psychologie sociale,70%,3,Psychologie sociale,Matin
Masculin,25,Architecture,Concevoir des maquettes architecturales,85%,4,Design architectural,Midi
Masculin,23,Informatique,Pratiquer des problèmes de programmation dynamique,90%,3,Algorithmique,Soir
Feminin,20,Ingénierie Électrique,Réviser les principes de l'électrotechnique,75%,2,Électrotechnique,Matin
Masculin,22,Sciences Sociales,Lire des ouvrages de théorie politique,80%,3,Théorie politique,Après-midi
Masculin,21,Finance,Analyser des données financières avec des logiciels statistiques,85%,4,Analyse financière,Soir
Feminin,24,Éducation,Préparer des activités pédagogiques,70%,3,Pédagogie,Matin
Masculin,26,Chimie,Effectuer des expériences de synthèse organique,95%,2,Chimie organique,Midi
Masculin,23,Physique,Étudier pour un examen de physique nucléaire,90%,3,Physique nucléaire,Après-midi
Genre,Âge,Programme d'étude,Suggestion de tâche,Performance,Durée (heures),Matière étudiée,Plage horaire
Masculin,23,Architecture,Conception d'un modèle 3D d'un bâtiment emblématique,85%,5,Design architectural,Soirée
Féminin,20,Biologie marine,Analyse des échantillons d'eau de mer collectés lors d'une expédition,80%,6,Océanographie,Matin
Masculin,24,Ingénierie électrique,Assembler un circuit électronique pour un projet de cours,75%,3,Électronique,Matin
Féminin,22,Psychologie clinique,Lecture d'articles de recherche sur les troubles de l'humeur,70%,4,Psychopathologie,Après-midi
Masculin,25,Informatique,Écrire du code pour résoudre des problèmes d'algorithmique avancée,90%,5,Algorithmique,Soirée
Féminin,23,Marketing,Analyser les données des campagnes publicitaires récentes,85%,3,Analyse de marché,Matin
Masculin,21,Économie,Étudier les modèles économiques de croissance,80%,4,Macroéconomie,Après-midi
Féminin,24,Génie civil,Effectuer des calculs de résistance des matériaux pour un projet de pont,75%,6,Résistance des matériaux,Soir
Masculin,22,Sciences de l'environnement,Conduire une étude sur l'impact des pesticides sur la biodiversité,85%,5,Écologie,Matin
Féminin,20,Informatique,Configurer un serveur web pour un projet de développement web,90%,3,Administration système,Après-midi
Masculin,23,Physique,Effectuer des expériences de laboratoire sur les phénomènes de la mécanique quantique,80%,4,Physique quantique,Midi
Féminin,25,Anthropologie,Analyser les données d'une enquête ethnographique sur les pratiques alimentaires,75%,5,Anthropologie culturelle,Soirée
Masculin,24,Sciences politiques,Rédiger un essai sur les théories du pouvoir politique,85%,3,Science politique,Matin
Féminin,21,Biologie cellulaire,Réaliser des coupes histologiques pour une étude sur la différenciation cellulaire,90%,4,Biologie moléculaire,Après-midi
Masculin,22,Génie mécanique,Modéliser un système de transmission de puissance pour une application industrielle,80%,6,Mécanique des fluides,Soir
Féminin,23,Informatique,Analyser les performances d'un algorithme de recherche dans une base de données volumineuse,85%,5,Bases de données,Matin
Masculin,25,Ingénierie aérospatiale,Concevoir un système de contrôle de vol pour un drone,75%,4,Dynamique des systèmes,Soirée
Féminin,24,Finance,Étudier les mouvements des marchés boursiers à l'aide d'outils d'analyse financière,90%,3,Analyse des marchés financiers,Matin
Masculin,21,Psychologie,Conduire des entretiens pour une étude sur les facteurs de stress chez les étudiants,85%,5,Méthodologie de recherche en psychologie,Après-midi
Féminin,20,Ingénierie chimique,Effectuer des simulations numériques de réactions chimiques dans un réacteur,80%,4,Génie des réactions chimiques,Midi

